+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                        ;
+------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                    ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; matriz_inst|\motors_ixj:3:i_motors_ixj:1:j_motors_ixj|fsm_motor              ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:3:i_motors_ixj:1:j_motors_ixj|reg_power_decay        ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:3:i_motors_ixj:1:j_motors_ixj|reg_power_shift_amount ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:3:i_motors_ixj:1:j_motors_ixj|reg_power              ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:3:i_motors_ixj:1:j_motors_ixj                        ; 56    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:3:j_motors_ixj|fsm_motor              ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:3:j_motors_ixj|reg_power_decay        ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:3:j_motors_ixj|reg_power_shift_amount ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:3:j_motors_ixj|reg_power              ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:3:j_motors_ixj                        ; 56    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:2:j_motors_ixj|fsm_motor              ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:2:j_motors_ixj|reg_power_decay        ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:2:j_motors_ixj|reg_power_shift_amount ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:2:j_motors_ixj|reg_power              ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:2:j_motors_ixj                        ; 56    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:1:j_motors_ixj|fsm_motor              ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:1:j_motors_ixj|reg_power_decay        ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:1:j_motors_ixj|reg_power_shift_amount ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:1:j_motors_ixj|reg_power              ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:2:i_motors_ixj:1:j_motors_ixj                        ; 56    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:3:j_motors_ixj|fsm_motor              ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:3:j_motors_ixj|reg_power_decay        ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:3:j_motors_ixj|reg_power_shift_amount ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:3:j_motors_ixj|reg_power              ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:3:j_motors_ixj                        ; 56    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:2:j_motors_ixj|fsm_motor              ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:2:j_motors_ixj|reg_power_decay        ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:2:j_motors_ixj|reg_power_shift_amount ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:2:j_motors_ixj|reg_power              ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:2:j_motors_ixj                        ; 56    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:1:j_motors_ixj|fsm_motor              ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:1:j_motors_ixj|reg_power_decay        ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:1:j_motors_ixj|reg_power_shift_amount ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:1:j_motors_ixj|reg_power              ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ixj:1:i_motors_ixj:1:j_motors_ixj                        ; 56    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:3:n_motors_ix0|fsm_motor                             ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:3:n_motors_ix0|reg_power_decay                       ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:3:n_motors_ix0|reg_power_shift_amount                ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:3:n_motors_ix0|reg_power                             ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:3:n_motors_ix0                                       ; 56    ; 8              ; 0            ; 8              ; 9      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:2:n_motors_ix0|fsm_motor                             ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:2:n_motors_ix0|reg_power_decay                       ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:2:n_motors_ix0|reg_power_shift_amount                ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:2:n_motors_ix0|reg_power                             ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:2:n_motors_ix0                                       ; 56    ; 8              ; 0            ; 8              ; 9      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:1:n_motors_ix0|fsm_motor                             ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:1:n_motors_ix0|reg_power_decay                       ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:1:n_motors_ix0|reg_power_shift_amount                ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:1:n_motors_ix0|reg_power                             ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_ix0:1:n_motors_ix0                                       ; 56    ; 8              ; 0            ; 8              ; 9      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:3:n_motors_0xi|fsm_motor                             ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:3:n_motors_0xi|reg_power_decay                       ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:3:n_motors_0xi|reg_power_shift_amount                ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:3:n_motors_0xi|reg_power                             ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:3:n_motors_0xi                                       ; 56    ; 8              ; 0            ; 8              ; 9      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:2:n_motors_0xi|fsm_motor                             ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:2:n_motors_0xi|reg_power_decay                       ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:2:n_motors_0xi|reg_power_shift_amount                ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:2:n_motors_0xi|reg_power                             ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:2:n_motors_0xi                                       ; 56    ; 8              ; 0            ; 8              ; 9      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:1:n_motors_0xi|fsm_motor                             ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:1:n_motors_0xi|reg_power_decay                       ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:1:n_motors_0xi|reg_power_shift_amount                ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:1:n_motors_0xi|reg_power                             ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|\motors_0xi:1:n_motors_0xi                                       ; 56    ; 8              ; 0            ; 8              ; 9      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|motor_0x0|fsm_motor                                              ; 36    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|motor_0x0|reg_power_decay                                        ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|motor_0x0|reg_power_shift_amount                                 ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|motor_0x0|reg_power                                              ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|motor_0x0                                                        ; 56    ; 16             ; 0            ; 16             ; 9      ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|commands_control                                                 ; 28    ; 0              ; 0            ; 0              ; 54     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|reg_status                                                       ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|reg_command_data                                                 ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|gerador_delay                                                    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst|timer_8_bits                                                     ; 1     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; matriz_inst                                                                  ; 40    ; 5              ; 0            ; 5              ; 50     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
